"","iso2c","Country","Year","WayofTeaching","PercentFear","PercentNascent","PercentPerceived","PercentOwner","PercentIntention","PercentOpportunities"
"1","AT","Austria",2001-12-06,NA,NA,NA,NA,NA,NA,NA
"2","AT","Austria",2002-12-06,NA,NA,NA,NA,NA,NA,NA
"3","AT","Austria",2003-12-06,NA,NA,NA,NA,NA,NA,NA
"4","AT","Austria",2004-12-06,NA,NA,NA,NA,NA,NA,NA
"5","AT","Austria",2005-12-06,1.8,30,3,46,3.8,4.9,29
"6","AT","Austria",2006-12-06,NA,NA,NA,NA,NA,NA,NA
"7","AT","Austria",2007-12-06,2.05882352941176,34,1.5,53,6,5.3,51
"8","AT","Austria",2008-12-06,NA,NA,NA,NA,NA,NA,NA
"9","AT","Austria",2009-12-06,NA,NA,NA,NA,NA,NA,NA
"10","AT","Austria",2010-12-06,NA,NA,NA,NA,NA,NA,NA
"11","AT","Austria",2011-12-06,NA,NA,NA,NA,NA,NA,NA
"12","AT","Austria",2012-12-06,3.16079844856451,36,6.6,50,7.6,8.6,49
"13","AT","Austria",2013-12-06,NA,NA,NA,NA,NA,NA,NA
"14","AU","Australia",2001-12-06,2.375,38,14.5,60,28,31.663951405275,31
"15","AU","Australia",2002-12-06,2.71739130434781,32,3.7,51,7.7,7.8,34
"16","AU","Australia",2003-12-06,3.06349206349205,36,6.6,59,9.1,11.8,52
"17","AU","Australia",2004-12-06,2.57407407407407,34,8,56,9.6,15.5,51
"18","AU","Australia",2005-12-06,2.5,30,6,57,10.4,12,50
"19","AU","Australia",2006-12-06,3.03225806451613,34,7.3,51,9.1,10.6,55
"20","AU","Australia",2007-12-06,NA,NA,NA,NA,NA,NA,NA
"21","AU","Australia",2008-12-06,NA,NA,NA,NA,NA,NA,NA
"22","AU","Australia",2009-12-06,NA,NA,NA,NA,NA,NA,NA
"23","AU","Australia",2010-12-06,2.19699902828201,36,3.9,53,8.5,8.7,46
"24","AU","Australia",2011-12-06,2.43809751206506,43,6,47,9.1,12.3,48
"25","AU","Australia",2012-12-06,NA,NA,NA,NA,NA,NA,NA
"26","AU","Australia",2013-12-06,NA,NA,NA,NA,NA,NA,NA
"27","BE","Belgium",2001-12-06,2.17142857142859,38,2,30,3,8.40989482649667,20
"28","BE","Belgium",2002-12-06,1.94736842105263,31,2.1,35,2.2,4.7,16
"29","BE","Belgium",2003-12-06,2.07894736842107,26,2.8,35,2.2,4.7,18
"30","BE","Belgium",2004-12-06,2.12,32,2.2,39,4,5.7,38
"31","BE","Belgium",2005-12-06,2.5,29,2.9,44,5.6,6.1,43
"32","BE","Belgium",2006-12-06,2.48571428571429,36,1.8,35,2.1,5.8,15
"33","BE","Belgium",2007-12-06,2.4375,28,2.7,37,1.4,5.6,16
"34","BE","Belgium",2008-12-06,1.71821679474175,33,2,36,2.6,6.4,14
"35","BE","Belgium",2009-12-06,2.39,28,2,37,2.5,5.2,15
"36","BE","Belgium",2010-12-06,2.87587522297614,35,2.6,45,2.7,8.2,40
"37","BE","Belgium",2011-12-06,2.48462600044498,41,2.7,44,6.8,10.9,43
"38","BE","Belgium",2012-12-06,1.94235328033112,41,3.3,37,5.1,9.1,33
"39","BE","Belgium",2013-12-06,2.26240769955896,47,3.1,34,5.9,7.8,31
"40","CA","Canada",2001-12-06,2.75241203050938,27,6.6,53,3.9,7.16013959871221,35
"41","CA","Canada",2002-12-06,2.83333333333333,28,6.5,57,6.5,6.9,35
"42","CA","Canada",2003-12-06,2.7391304347826,19,5.4,55,3.9,7.5,36
"43","CA","Canada",2004-12-06,3.25,32,6,55,7,8.1,45
"44","CA","Canada",2005-12-06,3.05882352941176,29,6.5,54,7.4,9.7,48
"45","CA","Canada",2006-12-06,2.75905462493592,26,4.1,53,5.1,6.3,45
"46","CA","Canada",2007-12-06,NA,NA,NA,NA,NA,NA,NA
"47","CA","Canada",2008-12-06,NA,NA,NA,NA,NA,NA,NA
"48","CA","Canada",2009-12-06,NA,NA,NA,NA,NA,NA,NA
"49","CA","Canada",2010-12-06,NA,NA,NA,NA,NA,NA,NA
"50","CA","Canada",2011-12-06,NA,NA,NA,NA,NA,NA,NA
"51","CA","Canada",2012-12-06,NA,NA,NA,NA,NA,NA,NA
"52","CA","Canada",2013-12-06,2.42208217171442,35,7.8,48,8.4,13.5,57
"53","CH","Switzerland",2001-12-06,NA,NA,NA,NA,NA,NA,NA
"54","CH","Switzerland",2002-12-06,1.76666666666667,25,4.4,49,6.8,8.4,34
"55","CH","Switzerland",2003-12-06,1.6875,30,4.2,50,7.3,9.4,25
"56","CH","Switzerland",2004-12-06,NA,NA,NA,NA,NA,NA,NA
"57","CH","Switzerland",2005-12-06,2.27272727272727,27,2.6,51,9.7,6.5,39
"58","CH","Switzerland",2006-12-06,NA,NA,NA,NA,NA,NA,NA
"59","CH","Switzerland",2007-12-06,2.23529411764706,29,3.5,41,6.6,6.9,35
"60","CH","Switzerland",2008-12-06,NA,NA,NA,NA,NA,NA,NA
"61","CH","Switzerland",2009-12-06,2.65,29,4.3,49,8.4,7.2,35
"62","CH","Switzerland",2010-12-06,2.5,27,2.2,44,8.7,6.7,33
"63","CH","Switzerland",2011-12-06,2.74900907430126,31,3.7,42,10.1,9.5,47
"64","CH","Switzerland",2012-12-06,2.75057088024344,32,2.9,37,8.4,7.3,36
"65","CH","Switzerland",2013-12-06,2.27084057278803,28,4.5,45,10,9.8,42
"66","CL","Chile",2001-12-06,NA,NA,NA,NA,NA,NA,NA
"67","CL","Chile",2002-12-06,1.81578947368419,25,10.4,57,6.8,34.2,31
"68","CL","Chile",2003-12-06,1.9375,34,10.9,51,6.5,37.9,34
"69","CL","Chile",2004-12-06,NA,NA,NA,NA,NA,NA,NA
"70","CL","Chile",2005-12-06,1.74193548387097,33,6,67,3.8,8.7,49
"71","CL","Chile",2006-12-06,1.44444444444444,28,5.7,61,6.8,22.3,42
"72","CL","Chile",2007-12-06,1.38461538461538,24,7.3,64,8.7,25.3,49
"73","CL","Chile",2008-12-06,1.54,27,7.7,62,6.7,29.5,27
"74","CL","Chile",2009-12-06,1.66,23,9.5,65,6.8,34.9,52
"75","CL","Chile",2010-12-06,1.69,22,11.4,66,6,38.3,65
"76","CL","Chile",2011-12-06,1.68288410721833,27,14.6,62,7,46,57
"77","CL","Chile",2012-12-06,1.61733745369042,28,14.7,60,7.8,43.1,65
"78","CL","Chile",2013-12-06,1.88652759486554,28,15.4,60,8.5,46.5,68
"79","CZ","Czech Republic",2001-12-06,NA,NA,NA,NA,NA,NA,NA
"80","CZ","Czech Republic",2002-12-06,NA,NA,NA,NA,NA,NA,NA
"81","CZ","Czech Republic",2003-12-06,NA,NA,NA,NA,NA,NA,NA
"82","CZ","Czech Republic",2004-12-06,NA,NA,NA,NA,NA,NA,NA
"83","CZ","Czech Republic",2005-12-06,NA,NA,NA,NA,NA,NA,NA
"84","CZ","Czech Republic",2006-12-06,2.27272727272727,31,6.4,38,5.4,9,27
"85","CZ","Czech Republic",2007-12-06,NA,NA,NA,NA,NA,NA,NA
"86","CZ","Czech Republic",2008-12-06,NA,NA,NA,NA,NA,NA,NA
"87","CZ","Czech Republic",2009-12-06,NA,NA,NA,NA,NA,NA,NA
"88","CZ","Czech Republic",2010-12-06,NA,NA,NA,NA,NA,NA,NA
"89","CZ","Czech Republic",2011-12-06,2.57625744427026,35,5.1,39,5.2,13.9,24
"90","CZ","Czech Republic",2012-12-06,NA,NA,NA,NA,NA,NA,NA
"91","CZ","Czech Republic",2013-12-06,2.19431873568838,36,4.9,43,5.3,13.7,23
"92","DE","Germany",2001-12-06,2.1,42,3.8,30,4.2,11.3367380997719,24
"93","DE","Germany",2002-12-06,2.09302325581395,37,3.5,35,4.8,4.5,20
"94","DE","Germany",2003-12-06,2.08510638297871,33,3.5,38,4.6,5.6,14
"95","DE","Germany",2004-12-06,2.23308270676692,30,2.8,36,4.3,4.2,13
"96","DE","Germany",2005-12-06,2.09210526315789,40,3.1,41,4.2,5.3,18
"97","DE","Germany",2006-12-06,2.265625,34,2.9,39,3,5.3,20
