Multiple Countries" + All Years + All Variables"
"Variable: ESTBBUYY"

"Country","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Australia","28.0","7.7","9.1","9.6","10.4","9.1",-,-,-,"8.5","9.1",-,-
"Austria",-,-,-,-,"3.8",-,"6.0",-,-,-,-,"7.6",-
"Belgium","3.0","2.2","2.2","4.0","5.6","2.1","1.4","2.6","2.5","2.7","6.8","5.1","5.9"
"Canada","3.9","6.5","3.9","7.0","7.4","5.1",-,-,-,-,-,-,"8.4"
"Chile",-,"6.8","6.5",-,"3.8","6.8","8.7","6.7","6.8","6.0","7.0","7.8","8.5"
"Czech Republic",-,-,-,-,-,"5.4",-,-,-,-,"5.2",-,"5.3"
"Denmark","4.2","5.5","5.7","5.1","4.4","5.3","6.0","3.3","4.7","5.6","4.9","3.4",-
"Estonia",-,-,-,-,-,-,-,-,-,-,-,"7.2","5"
"Finland","7.5","8.5","0.5","7.5","8.6","8.2","7.6","9.2","8.5","9.4","8.8","8","6.6"
"France","1.6","1.3","1.6","1.5","2.3","1.3","1.7","2.8","3.2","2.4","2.4","3.2","4.1"
"Germany","4.2","4.8","4.6","4.3","4.2","3.0",-,"4.0","5.1","5.7","5.6","5","5.1"
"Greece",-,-,"19.6","6.5","10.5","8.2","13.3","12.6","15.1","14.8","15.8","12.3","12.6"
"Hungary","5.9","5.5",-,"2.2","2.0","6.7","4.8","5.3","6.7","5.4","2.0","8.1","7.2"
"Iceland",-,"10.4","7.3","7.3","7.3","6.7","8.8","7.1","8.9","7.4",-,-,-
"Ireland","4.5","8.0","6.7","6.5","8.1","7.8","9.0","9.0",-,"8.6","8.0","8.3","7.5"
"Israel",-,"5.7",-,"3.9",-,-,"2.4","4.1","4.3","3.3",-,"3.8","5.9"
"Italy","3.6","3.6","2.3","4.7","6.4","3.0","5.6","6.5","5.8","3.7",-,"3.3","3.7"
"Japan","5.1","6.8","6.0","4.7","5.4","4.8","8.6","7.9","7.8","7.4","8.3","6.1","5.7"
"Korea (South)","10.5","10.2",-,-,-,-,-,"12.8","11.8","11.2","10.9","9.6","9"
"Luxembourg",-,-,-,-,-,-,-,-,-,-,-,-,"2.4"
"Mexico","5.8","1.5",-,-,"1.9","2.3",-,"4.9",-,"0.4","3.0","4.7","4.2"
"Netherlands","3.8","4.6","3.8","6.1","5.7","6.6","6.4","7.2","8.1","9.0","8.7","9.5","8.7"
"New Zealand","12.8","11.0","11.1","9.6","10.8",-,-,-,-,-,-,-,-
"Norway","6.5","6.3","6.1","6.3","7.3","6.0","4.8","7.7","8.3","6.7","6.6","5.8","6.2"
"Poland","4.7","2.0",-,"8.2",-,-,-,-,-,-,"5.0","5.8","6.5"
"Portugal","4.7",-,-,"7.3",-,-,"7.1",-,-,"5.4","5.7","6.2","7.7"
"Slovak Republic",-,-,-,-,-,-,-,-,-,-,"9.6","6.4","5.4"
"Slovenia",-,"6.7","5.4","4.2","6.3","4.4","4.6","5.6","5.6","4.9","4.8","5.8","5.7"
"Spain","4.7","8.4","4.0","7.8","7.7","5.4","6.4","9.1","6.4","7.7","8.9","8.7","8.4"
"Sweden","5.7","6.8","5.3","6.0","6.3","5.0","4.7",-,-,"6.4","7.0","5.2","6"
"Switzerland",-,"6.8","7.3",-,"9.7",-,"6.6",-,"8.4","8.7","10.1","8.4","10"
"Turkey",-,-,-,-,-,"11.4","5.5","4.8",-,"10.7","8.0","8.7","5.7"
"United Kingdom","3.3","5.5","5.8","5.1","5.1","5.4","5.1","6.0","6.1","6.4","7.2","6.2","6.6"
"United States of America","5.8","5.7","5.4","5.4","4.7","5.4","5.0","8.3","5.9","7.7","9.1","8.6","7.5"
