Multiple Countries" + All Years + All Variables"
"Variable: FUTSUPNO"

"Country","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Australia","7.8","11.8","15.5","12.0","10.6",-,-,-,"8.7","12.3",-,-
"Austria",-,-,-,"4.9",-,"5.3",-,-,-,-,"8.6",-
"Belgium","4.7","4.7","5.7","6.1","5.8","5.6","6.4","5.2","8.2","10.9","9.1","7.8"
"Canada","6.9","7.5","8.1","9.7","6.3",-,-,-,-,-,-,"13.5"
"Chile","34.2","37.9",-,"8.7","22.3","25.3","29.5","34.9","38.3","46.0","43.1","46.5"
"Czech Republic",-,-,-,-,"9.0",-,-,-,-,"13.9",-,"13.7"
"Denmark","6.2","5.1","6.5","7.2","6.5","6.2","5.5","2.6","5.9","6.7","6.6",-
"Estonia",-,-,-,-,-,-,-,-,-,-,"16.4","19.4"
"Finland","5.0","5.5","3.7","4.3","5.1","4.6","5.2","4.2","5.9","7.1","7.7","8.3"
"France","3.0","5.8","11.6","11.4","13.3","15.3","12.7","15.9","14.2","17.7","17.3","12.6"
"Germany","4.5","5.6","4.2","5.3","5.3",-,"4.2","5.3","6.4","5.5","6","6.8"
"Greece",-,"11.4","11.4","14.7","12.5","11.8","12.6","14.6","12.8","10.5","9.5","8.8"
"Hungary","5.9",-,"2.5","1.5","9.0","8.7","6.2","13.0","13.8","19.5","13","13.7"
"Iceland","13.5","14.3","13.0","15.9","15.4","14.9","11.9","15.0","15.7",-,-,-
"Ireland","7.4","6.9","7.8","8.4","6.3","7.7","6.4",-,"6.1","5.8","5.4","12.6"
"Israel","14.4",-,"16.6",-,-,"12.6","14.2","13.6","13.5",-,"12.8","24"
"Italy","9.4","6.5","9.3","8.8","8.3","10.3","7.1","4.5","4.0",-,"10.8","9.8"
"Japan","0.9","1.9","0.7","0.8","2.0","2.3","3.8","3.0","2.9","3.8","2.5","4.1"
"Korea (South)","19.7",-,-,-,-,-,"17.2","11.4","10.1","15.7","13","12.1"
"Luxembourg",-,-,-,-,-,-,-,-,-,-,-,"14.1"
"Mexico","23.2",-,-,"17.2","15.7",-,"25.6",-,"22.3","24.2","18.4","16.9"
"Netherlands","3.7","4.4","4.6","4.1","3.8","4.0","3.6","5.5","5.5","8.5","8.6","9.1"
"New Zealand","14.2","12.9","12.7","11.2",-,-,-,-,-,-,-,-
"Norway","8.7","6.6","7.6","7.3","6.2","5.6","7.0","7.7","7.6","8.7","4.9","5.2"
"Poland","2.2",-,"17.8",-,-,-,-,-,-,"22.7","21.6","17.3"
"Portugal",-,-,"2.2",-,-,"9.8",-,-,"8.8","12.2","14.4","13.2"
"Slovak Republic",-,-,-,-,-,-,-,-,-,"17.8","11.8","16.4"
"Slovenia","9.0","10.3","8.4","8.6","7.3","9.3","7.3","9.7","8.7","9.2","13.2","12.4"
"Spain","7.0","4.9","4.3","4.2","4.4","4.3","5.0","4.3","5.8","8.0","11.1","8.4"
"Sweden","12.5","12.7","10.0","14.3","9.3","9.0",-,-,"8.5","9.8","11","9.5"
"Switzerland","8.4","9.4",-,"6.5",-,"6.9",-,"7.2","6.7","9.5","7.3","9.8"
"Turkey",-,-,-,-,"20.1","19.0","20.8",-,"19.4","8.5","14.7","28.1"
"United Kingdom","4.2","5.4","7.4","6.7","5.6","5.6","5.3","4.3","5.1","8.9","9.5","7.2"
"United States of America","9.2","9.0","8.0","9.0","7.1","8.2","6.9","6.9","7.3","10.9","12.5","12.2"
