Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,38,32,36,34,30,34,-,-,-,36,43,-,-
Austria,-,-,-,-,30,-,34,-,-,-,-,36,-
Belgium,38,31,26,32,29,36,28,33,28,35,41,41,47
Canada,27,28,19,32,29,26,-,-,-,-,-,-,35
Chile,-,25,34,-,33,28,24,27,23,22,27,28,28
Czech Republic,-,-,-,-,-,31,-,-,-,-,35,-,36
Denmark,24,25,29,25,40,39,34,42,37,32,41,39,-
Estonia,-,-,-,-,-,-,-,-,-,-,-,34,39
Finland,35,28,37,36,29,36,29,23,26,29,32,37,37
France,29,22,34,42,42,43,41,52,47,40,37,43,41
Germany,42,37,33,30,40,34,-,40,37,34,42,42,39
Greece,-,-,49,48,50,48,54,46,45,51,38,61,49
Hungary,10,17,-,38,30,15,17,34,33,42,35,34,45
Iceland,-,39,38,44,42,40,39,35,36,34,-,-,-
Ireland,40,30,37,34,34,34,37,33,-,33,33,35,40
Israel,33,38,-,44,-,-,44,45,37,47,-,47,52
Italy,28,29,38,32,30,38,40,45,39,37,-,58,49
Japan,22,29,39,30,45,29,43,51,50,33,42,53,49
Korea (South),44,45,-,-,-,-,-,33,23,32,45,43,42
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,43
Mexico,26,16,-,-,30,31,-,28,-,33,27,26,32
Netherlands,27,23,24,32,30,32,22,29,29,24,35,30,37
New Zealand,26,30,24,22,22,-,-,-,-,-,-,-,-
Norway,29,26,24,26,22,25,18,25,25,27,41,39,35
Poland,44,24,-,38,-,-,-,-,-,-,43,43,47
Portugal,31,-,-,29,-,-,29,-,-,30,40,42,40
Slovak Republic,-,-,-,-,-,-,-,-,-,-,32,38,33
Slovenia,-,26,29,26,32,28,27,25,30,28,31,27,30
Spain,36,42,40,45,42,44,47,47,45,36,39,42,36
Sweden,31,30,30,32,34,28,29,-,-,29,35,33,37
Switzerland,-,25,30,-,27,-,29,-,29,27,31,32,28
Turkey,-,-,-,-,-,27,23,34,-,25,22,30,30
United Kingdom,33,33,31,33,33,33,34,34,32,30,36,36,36
United States of America,21,22,23,18,22,26,27,25,27,28,31,32,31
