Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,60,51,59,56,57,51,-,-,-,53,47,-,-
Austria,-,-,-,-,46,-,53,-,-,-,-,50,-
Belgium,30,35,35,39,44,35,37,36,37,45,44,37,34
Canada,53,57,55,55,54,53,-,-,-,-,-,-,48
Chile,-,57,51,-,67,61,64,62,65,66,62,60,60
Czech Republic,-,-,-,-,-,38,-,-,-,-,39,-,43
Denmark,41,37,37,40,38,36,36,32,35,41,35,31,-
Estonia,-,-,-,-,-,-,-,-,-,-,-,43,40
Finland,38,39,38,36,36,37,40,39,35,40,37,34,33
France,20,26,25,33,36,33,33,25,27,37,38,36,33
Germany,30,35,38,36,41,39,-,35,40,42,37,37,38
Greece,-,-,52,54,45,46,48,55,58,52,50,50,46
Hungary,55,53,-,21,15,43,44,48,41,43,40,40,38
Iceland,-,46,48,48,47,50,46,52,50,49,-,-,-
Ireland,46,50,46,48,50,51,49,48,-,49,46,45,43
Israel,36,47,-,42,-,-,38,38,38,40,-,29,36
Italy,33,39,35,33,32,44,51,40,41,42,-,30,29
Japan,11,11,12,14,13,16,15,13,14,14,14,9,13
Korea (South),29,31,-,-,-,-,-,30,53,29,27,27,28
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,43
Mexico,50,61,-,-,46,41,-,59,-,65,61,62,59
Netherlands,37,37,32,37,42,38,39,38,47,46,42,42,42
New Zealand,66,63,62,66,60,-,-,-,-,-,-,-,-
Norway,36,42,40,42,42,39,36,41,44,40,33,34,34
Poland,39,22,-,50,-,-,-,-,-,-,52,54,52
Portugal,42,-,-,46,-,-,58,-,-,52,47,47,49
Slovak Republic,-,-,-,-,-,-,-,-,-,-,53,50,51
Slovenia,-,44,38,43,35,48,48,51,52,56,51,51,51
Spain,49,49,31,41,48,46,45,47,48,50,51,50,48
Sweden,44,43,42,42,45,42,42,-,-,42,40,37,39
Switzerland,-,49,50,-,51,-,41,-,49,44,42,37,45
Turkey,-,-,-,-,-,55,49,49,-,54,42,49,52
United Kingdom,46,46,48,52,51,50,49,50,47,52,42,47,44
United States of America,61,57,54,54,52,51,48,56,56,60,56,56,56
