Country,Year01,Year02,Year03,Year04,Year05,Year06,Year07,Year08,Year09,Year10
Australia,2.375,2.717391,3.063492,2.574074,2.5,3.032258,2.058824,NA,NA,NA
Austria,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA
Austria,NA,NA,NA,NA,NA,NA,,NA,NA,NA
Belgium,2.171429,1.947368,2.078947,2.12,2.5,2.485714,2.4375,NA,2.39,NA
Canada,NA,2.833333,2.73913,3.25,3.058824,NA,NA,NA,NA,NA
Chile,NA,1.815789,1.9375,NA,1.741935,1.444444,1.384615,1.54,1.66,1.69
Czech Republic,NA,NA,NA,NA,NA,2.272727,NA,NA,NA,NA
Denmark,2.694444,2.16129,2.538462,2.526316,2.857143,2.742857,3.052632,2.6,3.15,NA
Finland,2.235294,2.234043,2.294118,2.631579,2.685714,2.466667,2.816327,2.82,2.4,2.63
France,1.685714,1.428571,1.352941,NA,NA,NA,NA,NA,NA,1.6
Germany,2.1,2.093023,2.085106,2.233083,2.092105,2.265625,NA,1.95,2.23,2.33
Greece,NA,NA,2.142857,1.914286,2.055556,2.285714,1.914286,1.92,1.75,1.94
Hungary,2.666667,2.5,NA,2.55,1.769231,2.772727,NA,NA,2.38,1.97
Iceland,NA,2.235294,2.677419,2.285714,2.7,2.266667,2.466667,NA,2.4,2.5
Ireland,2.678571,2.3,2.522388,2.190476,2.444444,2.276596,2.851064,2.75,NA,2.49
Israel,2.470588,2.225806,NA,2.24,NA,NA,2.263158,NA,2.38,2.14
Italy,2.125,NA,2.625,NA,2.058824,2.470588,2.117647,1.87,2,1.84
Japan,1.648649,1.540541,NA,1.666667,NA,NA,NA,NA,NA,1.77
Mexico,2,2.2,NA,NA,NA,2.411765,NA,1.72,NA,2.19
Netherlands,2.6875,2.555556,3.133333,3,2.454545,2.5,NA,NA,2.44,NA
New Zealand,2.210526,2.9375,3.058824,2.521739,2.868421,NA,NA,NA,NA,NA
Norway,2.142857,2.24,2.861111,2.771429,3.046512,2.857143,2.976744,2.91,2.84,2.64
Poland,NA,NA,NA,2.169811,NA,NA,NA,NA,NA,NA
Portugal,1.555556,NA,NA,1.666667,NA,NA,NA,NA,NA,1.86
Slovenia,NA,NA,2.142857,2.211538,2.352941,2.235294,2.210526,2.36,2.28,2.34
South Korea,1.783784,1.9375,NA,NA,NA,NA,NA,2.63,2.1,2.13
Spain,2.114286,1.828571,1.792308,1.994048,2.657143,2.323529,2.060606,2.19,1.96,1.72
Sweden,2.314286,2.387755,2.355556,NA,NA,NA,NA,NA,NA,2.47
Switzerland,NA,1.766667,1.6875,NA,2.272727,NA,2.235294,NA,2.65,2.5
Turkey,NA,NA,NA,NA,NA,2.2,2.138889,1.88,NA,2.11
United Kingdom,2.666667,2.46875,2.507463,NA,2.6,2.655172,2.684211,NA,1.95,2.61
United States,2.93617,2.888889,3.102564,3.142857,3.277778,3.104167,2.777778,2.47,2.23,2.36
