Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,31,34,52,51,50,55,-,-,-,46,48,-,-
Austria,-,-,-,-,29,-,51,-,-,-,-,49,-
Belgium,20,16,18,38,43,15,16,14,15,40,43,33,31
Canada,35,35,36,45,48,45,-,-,-,-,-,-,57
Chile,-,31,34,-,49,42,49,27,52,65,57,65,68
Czech Republic,-,-,-,-,-,27,-,-,-,-,24,-,23
Denmark,46,51,42,49,66,65,71,62,34,46,47,44,-
Estonia,-,-,-,-,-,-,-,-,-,-,-,45,46
Finland,55,51,49,38,47,50,53,50,40,51,61,55,44
France,7,10,9,21,22,21,23,22,24,34,35,38,23
Germany,24,20,14,13,18,20,-,24,22,28,35,36,31
Greece,-,-,24,29,16,22,29,28,26,16,11,13,14
Hungary,9,10,-,17,10,16,28,19,3,33,14,11,19
Iceland,-,42,50,55,62,60,69,37,44,49,-,-,-
Ireland,34,39,33,45,52,44,46,27,-,23,26,26,28
Israel,18,26,-,32,-,-,24,25,29,34,-,31,47
Italy,48,40,34,25,15,23,39,30,25,25,-,20,17
Japan,7,5,7,14,17,9,9,8,8,6,6,6,8
Korea (South),12,15,-,-,-,-,-,15,13,13,11,13,13
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,46
Mexico,40,51,-,-,33,27,-,47,-,56,43,45,54
Netherlands,42,49,29,38,39,46,42,39,36,45,48,34,33
New Zealand,49,51,47,55,57,-,-,-,-,-,-,-,-
Norway,59,44,37,41,46,51,46,39,49,50,67,64,64
Poland,14,8,-,36,-,-,-,-,-,-,33,20,26
Portugal,22,-,-,23,-,-,33,-,-,20,17,16,20
Slovak Republic,-,-,-,-,-,-,-,-,-,-,23,18,16
Slovenia,-,30,32,37,21,39,48,45,29,27,18,20,16
Spain,48,42,31,39,38,33,34,25,16,19,14,14,16
Sweden,42,45,39,41,45,46,50,-,-,66,71,66,64
Switzerland,-,34,25,-,39,-,35,-,35,33,47,36,42
Turkey,-,-,-,-,-,34,39,36,-,36,32,40,39
United Kingdom,23,27,35,36,39,37,39,30,24,29,33,33,36
United States of America,35,37,31,34,32,24,25,37,28,35,36,43,47
