Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,14.5,3.7,6.6,8,6,7.3,-,-,-,3.9,6,-,-
Austria,-,-,-,-,3,-,1.5,-,-,-,-,6.6,-
Belgium,2,2.1,2.8,2.2,2.9,1.8,2.7,2,2,2.6,2.7,3.3,3.1
Canada,6.6,6.5,5.4,6,6.5,4.1,-,-,-,-,-,-,7.8
Chile,-,10.4,10.9,-,6,5.7,7.3,7.7,9.5,11.4,14.6,14.7,15.4
Czech Republic,-,-,-,-,-,6.4,-,-,-,-,5.1,-,4.9
Denmark,3,3.6,3,2.5,2.4,2.9,2.3,2.2,1.6,1.8,3.1,3.1,-
Estonia,-,-,-,-,-,-,-,-,-,-,-,9.5,8.8
Finland,2,2.7,3,2.6,3.1,2.9,4.3,4.1,2.9,2.4,3,3.5,2.7
France,1.9,2.3,0.9,4.9,4.7,3.8,2.3,3.8,3.1,3.8,4.1,3.7,2.7
Germany,3.8,3.5,3.5,2.8,3.1,2.9,-,2.4,2.2,2.5,3.4,3.5,3.1
Greece,-,-,2.9,3.7,5.2,5.7,4.6,5.3,4.5,2.1,4.4,3.8,3.3
Hungary,5.5,3.4,-,2.7,1.1,3.2,3.8,3.8,5.4,4.9,4.8,5.8,6
Iceland,-,5.7,7.2,7.7,8.4,7.2,8.5,6.5,7.6,7.4,-,-,-
Ireland,7.1,5.7,5.1,4.4,5.7,4.5,4.2,3.3,-,4.4,4.3,3.9,5.5
Israel,0.9,3.3,-,4.3,-,-,3.6,3.5,3.4,3.1,-,3.5,5.3
Italy,4.4,3.7,2,2.5,2.9,2.2,3.6,2,1.8,1.3,-,2.5,2.4
Japan,1.2,0.8,1.4,0.4,1.1,1.6,2.2,3.2,1.9,1.5,3.3,2.3,2.2
Korea (South),5.5,5.9,-,-,-,-,-,3.5,2.7,1.8,2.9,2.6,2.7
Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,6
Mexico,13.4,9.2,-,-,4.6,4.1,-,9.3,-,9.2,5.7,7.9,11.9
Netherlands,2.3,2.5,1.7,3,2.5,3.5,2.7,2.1,3.1,4,4.3,4.1,4.7
New Zealand,10.6,9.1,9.3,8.4,9.4,-,-,-,-,-,-,-,-
Norway,4,5.2,3.9,3.9,4.2,5,3.8,5,5,4.4,3.7,3.7,2.9
Poland,5.7,3.2,-,3.9,-,-,-,-,-,-,6,4.8,5.1
Portugal,2.1,-,-,2.1,-,-,4.8,-,-,1.9,4.6,4.3,4.2
Slovak Republic,-,-,-,-,-,-,-,-,-,-,9.2,6.6,6.1
Slovenia,-,3.3,3,1.9,3,2.9,3,4.1,3.2,2.2,1.9,2.9,3.6
Spain,3.3,2.2,4.6,2.1,2.4,3,3.5,3.3,2.3,2.2,3.3,3.4,3.1
Sweden,1.9,1.8,2,1.7,1.7,2.2,1.9,-,-,2.3,3.5,4.6,5.9
Switzerland,-,4.4,4.2,-,2.6,-,3.5,-,4.3,2.2,3.7,2.9,4.5
Turkey,-,-,-,-,-,2.2,1.9,3.2,-,3.7,6.3,7.3,5.5
United Kingdom,3.3,2.5,3.4,3.4,3.4,3.2,2.9,3.1,2.7,3.2,4.7,5.3,3.6
United States of America,8.1,7.1,8,7.4,8.8,7.4,6.5,5.9,4.9,4.9,8.3,8.9,9.2
